h,FE,SPJ,HPJ,DB,CDOLS
0,-0.293 (0.079),-0.310 (0.084),-0.429 (0.079),-0.293 (0.079),-0.000 (0.000)
1,-0.392 (0.127),-0.420 (0.137),-0.567 (0.127),-0.392 (0.127),-0.021 (0.041)
2,-0.439 (0.143),-0.470 (0.167),-0.248 (0.143),-0.439 (0.143),0.038 (0.086)
3,-0.568 (0.169),-0.647 (0.213),-0.073 (0.169),-0.568 (0.169),0.134 (0.128)
4,-0.620 (0.216),-0.738 (0.263),0.076 (0.216),-0.620 (0.216),0.251 (0.166)
5,-0.625 (0.223),-0.743 (0.280),0.239 (0.223),-0.625 (0.223),0.367 (0.200)
6,-0.678 (0.226),-0.790 (0.291),0.440 (0.226),-0.678 (0.226),0.479 (0.231)
7,-0.776 (0.238),-0.898 (0.298),0.553 (0.238),-0.776 (0.238),0.588 (0.259)
8,-0.708 (0.258),-0.864 (0.323),0.872 (0.258),-0.708 (0.258),0.740 (0.288)
9,-0.601 (0.275),-0.722 (0.347),0.836 (0.275),-0.601 (0.275),0.903 (0.311)
10,-0.559 (0.286),-0.715 (0.360),1.094 (0.286),-0.559 (0.286),1.086 (0.323)
